titleEn,label,durationDays,keyhubCredits,costUsd,tierMult,minRetail,retail,oldPrice,delta,sellauthVariantId,source
Arcane Dead By Daylight,شهر,30,150,15,1.874,28.11,28.49,28.49,0,1179808,catalog
Vector Dead by Daylight,يوم واحد,1,19,1.9,1.89,3.59,3.99,3.99,0,1179880,catalog
Vector Dead by Daylight,أسبوع,7,69,6.9,1.87,12.9,13.79,13.79,0,1179881,catalog
Vector Dead by Daylight,شهر,30,134,13.4,1.87,25.06,25.79,25.79,0,1179882,catalog
Arcane Deadside,يوم واحد,1,20,2,1.89,3.78,3.79,3.79,0,1179809,catalog
Arcane Deadside,أسبوع,7,60,6,1.87,11.22,11.79,11.79,0,1179810,catalog
Arcane Deadside,شهر,30,110,11,1.87,20.57,20.79,20.79,0,1179811,catalog
Zcheats DeadSide,يوم واحد,1,30,3,1.89,5.67,5.79,5.79,0,1179894,keyhub-api
Zcheats DeadSide,3 Days,3,60,6,1.87,11.22,11.79,11.79,0,1179895,keyhub-api
Zcheats DeadSide,أسبوع,7,108,10.8,1.87,20.2,20.79,20.79,0,1179896,keyhub-api
Zcheats DeadSide,شهر,30,210,21,1.874,39.35,39.49,39.49,0,1179897,keyhub-api
Arcane Dune: Awakening,يوم واحد,1,25,2.5,1.89,4.72,4.79,4.79,0,1179812,keyhub-api
Arcane Dune: Awakening,أسبوع,7,75,7.5,1.87,14.03,14.79,14.79,0,1179813,keyhub-api
Arcane Dune: Awakening,شهر,30,150,15,1.874,28.11,28.49,28.49,0,1179814,keyhub-api
Arcane Farlight 84,يوم واحد,1,15,1.5,1.89,2.84,2.99,2.99,0,1179815,keyhub-api
Arcane Farlight 84,أسبوع,7,30,3,1.89,5.67,5.79,5.79,0,1179816,keyhub-api
Arcane Farlight 84,شهر,30,60,6,1.87,11.22,11.79,11.79,0,1179817,keyhub-api
Fellas GrayZone,يوم واحد,1,30,3,1.89,5.67,5.79,5.79,0,1179856,catalog
Fellas GrayZone,أسبوع,7,90,9,1.87,16.83,17.79,17.79,0,1179857,catalog
Fellas GrayZone,شهر,30,240,24,1.874,44.98,45.49,45.49,0,1179858,catalog
Arcane Hell Let Loose,يوم واحد,1,20,2,1.89,3.78,3.79,3.79,0,1179822,keyhub-api
Arcane Hell Let Loose,أسبوع,7,75,7.5,1.87,14.03,14.79,14.79,0,1179823,keyhub-api
Arcane Hell Let Loose,شهر,30,150,15,1.874,28.11,28.49,28.49,0,1179824,keyhub-api
Arcane HighGuard,يوم واحد,1,23,2.3,1.89,4.35,4.79,4.79,0,1179825,keyhub-api
Arcane HighGuard,أسبوع,7,83,8.3,1.87,15.52,15.79,15.79,0,1179826,keyhub-api
Arcane HighGuard,شهر,30,170,17,1.874,31.86,32.49,32.49,0,1179827,keyhub-api
Arcane HumanitZ,يوم واحد,1,20,2,1.89,3.78,3.79,3.79,0,1179828,keyhub-api
Arcane HumanitZ,أسبوع,7,60,6,1.87,11.22,11.79,11.79,0,1179829,keyhub-api
Arcane HumanitZ,شهر,30,110,11,1.87,20.57,20.79,20.79,0,1179830,keyhub-api
Ancient Hunt Showdown,يوم واحد,1,30,3,1.89,5.67,5.79,5.79,0,1179762,catalog
Ancient Hunt Showdown,أسبوع,7,100,10,1.87,18.7,18.79,18.79,0,1179763,catalog
Ancient Hunt Showdown,شهر,30,200,20,1.874,37.48,37.49,37.49,0,1179764,catalog
Arcane Hunt Showdown,يوم واحد,1,15,1.5,1.89,2.84,2.99,2.99,0,1179831,keyhub-api
Arcane Hunt Showdown,أسبوع,7,50,5,1.87,9.35,9.79,9.79,0,1179832,keyhub-api
Arcane Hunt Showdown,شهر,30,100,10,1.87,18.7,18.79,18.79,0,1179833,keyhub-api
Gouda Spoofer,يوم واحد,1,20,2,1.89,3.78,3.79,3.79,0,1179859,catalog
